Sigla;Código;Município;1970;1975;1980;1985;1996
BA;2904803;Caatiba;267.2731236;201.1567754;127.0108793;858.436125;4903.739203
BA;2904852;Cabaceiras do Paraguaçu;;;;;2667.912239
BA;2904902;Cachoeira;4115.815874;5740.599181;6717.155359;13499.44963;21520.00228
BA;2905008;Caculé;3259.400498;2612.669725;1756.945053;2618.513153;9077.265435
BA;2905107;Caém;194.0345808;418.5129174;757.2956789;2702.636282;9049.400647
BA;2905156;Caetanos;;;;;2731.060009
BA;2905206;Caetité;3345.19422;7434.338257;13860.86005;26346.14606;30576.2348
BA;2905305;Cafarnaum;401.3852604;1812.702758;399.4052809;2431.774656;3967.409867
BA;2905404;Cairu;521.8008385;350.7214457;197.7637798;891.4406378;4341.409054
BA;2905503;Caldeirão Grande;525.1298632;1364.828738;2975.887316;5724.960183;6896.864053
BA;2905602;Camacan;6385.64001;8921.781745;10457.44622;9071.88248;8798.394036
BA;2905701;Camaçari;4470.594789;15207.05486;43396.20972;91633.56568;124588.141
BA;2905800;Camamu;2022.430045;2944.771289;3597.133147;10322.94989;19471.19218
BA;2905909;Campo Alegre de Lourdes;547.481886;839.233311;1079.251235;2904.680514;3725.37727
BA;2906006;Campo Formoso;2206.667782;2303.337757;2016.996668;7247.065142;16218.98385
BA;2906105;Canápolis;275.4530128;729.9065891;1622.609159;2788.912804;3192.085091
BA;2906204;Canarana;373.8019131;599.948841;807.818508;3157.408306;5017.630263
BA;2906303;Canavieiras;8928.158824;9019.816329;7644.698508;11179.76275;11516.42114
BA;2906402;Candeal;1644.918648;1456.049551;1081.271527;3145.404693;6688.28537
BA;2906501;Candeias;9266.863305;12175.72378;13420.9636;27340.73544;44055.2419
BA;2906600;Candiba;76.09199249;224.5271878;555.8092867;2079.751904;3806.064093
BA;2906709;Cândido Sales;248.2501255;715.6946784;1730.98371;4821.416057;9020.062425
BA;2906808;Cansanção;521.2301485;1689.640806;4595.006525;9950.4091;12352.33366
BA;2906824;Canudos;;;;;4540.703727
BA;2906857;Capela do Alto Alegre;;;;;8458.034328
BA;2906873;Capim Grosso;;;;;6900.751705
BA;2906899;Caraíbas;;;;;6166.409265
BA;2906907;Caravelas;8859.4858;7092.49749;13646.49186;17657.16678;17464.94357
BA;2907004;Cardeal da Silva;0;1126.552443;1297.768578;2106.15533;2835.052199
BA;2907103;Carinhanha;1510.426051;2301.492818;2942.027054;4991.638806;5426.909165
BA;2907202;Casa Nova;1437.282623;3494.548056;7127.984406;12418.3085;22179.70034
BA;2907301;Castro Alves;2937.91183;8346.949596;3164.74397;11214.49382;19063.62482
BA;2907400;Catolândia;277.7357726;164.9714111;82.20768888;538.2570085;2796.614001
BA;2907509;Catu;5529.224634;5637.952559;4822.869177;12451.54965;28583.07919
BA;2907558;Caturama;;;;;3438.573783
BA;2907608;Central;1168.29743;1005.535472;726.0528794;3086.399807;11877.29263
BA;2907707;Chorrochó;854.4179607;1419.196613;1977.614532;2708.234331;3563.105327
BA;2907806;Cícero Dantas;3924.064053;3903.507555;3257.623147;9200.022108;14256.89406
BA;2907905;Cipó;3576.133417;6057.573659;8608.164866;14931.32744;15365.46009
BA;2908002;Coaraci;5693.678453;8038.958291;9522.116603;11972.64267;12780.52345
BA;2908101;Cocos;445.1381561;763.0341784;1097.286516;2175.907276;6788.594361
BA;2908200;Conceição da Feira;1202.443711;1930.35068;2599.76775;5664.790082;7806.479648
BA;2908309;Conceição do Almeida;2241.860329;3616.36041;4893.97495;9694.470533;11345.45345
BA;2908408;Conceição do Coité;2561.732042;3496.458002;4003.592003;7943.099123;20761.53102
BA;2908507;Conceição do Jacuípe;2059.810237;1817.036272;1344.704515;5823.157244;21867.19643
BA;2908606;Conde;510.5772696;1247.132113;2555.584995;4927.046063;5349.600694
BA;2908705;Condeúba;1204.155781;2179.076716;3308.180876;4860.916291;3097.661869
BA;2908804;Contendas do Sincorá;828.2613382;811.7818752;667.479901;2153.300723;3508.273784
BA;2908903;Coração de Maria;2244.238203;3440.245177;4424.220052;9157.091713;20075.07982
BA;2909000;Cordeiros;48.50864521;268.8635555;1250.177306;2309.153846;4238.682842
BA;2909109;Coribe;171.2069831;2394.964936;3879.458393;2108.185182;5907.553187
BA;2909208;Coronel João Sá;229.4173574;526.0878094;1012.085226;1867.921531;2628.498704
BA;2909307;Correntina;2927.639411;3151.82532;2846.646747;6378.557253;9824.191873
BA;2909406;Cotegipe;1798.624472;1810.311905;1528.597687;3282.550001;5217.820534
BA;2909505;Cravolândia;284.9645119;483.0622204;686.9770831;1604.520507;3373.678497
BA;2909604;Crisópolis;300.1829104;607.0489184;1029.883966;2186.651061;5259.321196
BA;2909703;Cristópolis;194.0345808;500.4503618;1082.853638;3201.628676;4456.714989
BA;2909802;Cruz das Almas;8417.581554;11096.14951;12271.11845;28544.76871;43277.86763
BA;2909901;Curaçá;1328.661304;2672.611618;4510.080554;6955.55402;9092.859771
BA;2910008;Dário Meira;621.1008887;630.115487;536.2965937;2132.541998;6868.813211
BA;2910057;Dias d'Ávila;;;;;27433.65228
BA;2910107;Dom Basílio;256.8104747;635.961267;1321.221036;2947.602864;2719.731311
BA;2910206;Dom Macedo Costa;97.58798037;247.8629231;528.1456238;1201.64746;1762.599817
BA;2910305;Elísio Medrado;767.7682042;730.7797691;583.5388708;1776.992674;2885.646986
BA;2910404;Encruzilhada;2058.859087;2251.469437;2065.534104;6273.350379;9795.661677
BA;2910503;Entre Rios;4000.63162;4833.623286;4899.411515;11830.48155;14801.23504
BA;2910602;Esplanada;3737.828901;5008.186284;5629.481714;8192.236365;9682.537478
BA;2910701;Euclides da Cunha;3429.941676;7709.430311;14537.33238;20438.11392;19088.67791
BA;2910727;Eunápolis;;;;;80165.74303
BA;2910750;Fátima;;;;;6800.097887
BA;2910776;Feira da Mata;;;;;1582.695377
BA;2910800;Feira de Santana;73969.21613;123662.2763;173440.4287;339230.9962;517051.094
BA;2910859;Filadélfia;;;;;1810.77267
BA;2910909;Firmino Alves;939.9263372;1336.222965;1593.642582;3474.013952;5306.831372
BA;2911006;Floresta Azul;509.8163497;1525.415606;3829.036384;5955.6778;8004.255034
BA;2911105;Formosa do Rio Preto;127.9296624;691.4421633;3135.215123;6775.117889;17675.8579
BA;2911204;Gandu;2141.609129;3955.158558;6127.939504;20162.10243;25535.13641
BA;2911253;Gavião;;;;;3609.627164
BA;2911303;Gentio do Ouro;640.5043468;417.7609034;228.5916632;724.0747136;3478.222402
BA;2911402;Glória;2404.316733;1521.436585;807.6866655;2771.171419;6675.480404
BA;2911501;Gongogi;1467.243845;661.3873037;250.1130157;1282.925973;5674.469671
BA;2911600;Governador Mangabeira;1257.420176;1649.086512;1814.401248;3326.992643;7157.996702
BA;2911659;Guajeru;;;;;4244.581968
BA;2911709;Guanambi;5607.599386;8760.504054;11481.75014;30204.22351;66405.13125
