"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Rendimento nominal total (operação: Soma)";"Freqüência";"Observações"
"9115";"Município (1991)";"291950";"Livramento do Brumado";"2278";"1991";"8004";"1991";"585.379.785";"34345";"4335"
"9115";"Município (1991)";"171240";"Lizarda";"2279";"1991";"8004";"1991";"58.353.684";"3775";"710"
"9115";"Município (1991)";"411350";"Loanda";"2280";"1991";"8004";"1991";"693.445.196";"17757";"1886"
"9115";"Município (1991)";"411360";"Lobato";"2281";"1991";"8004";"1991";"167.202.176";"3762";"815"
"9115";"Município (1991)";"411370";"Londrina";"2282";"1991";"8004";"1991";"26.295.862.174";"390100";"39590"
"9115";"Município (1991)";"420990";"Lontras";"2283";"1991";"8004";"1991";"281.300.677";"7578";"1533"
"9115";"Município (1991)";"352720";"Lorena";"2284";"1991";"8004";"1991";"4.208.470.998";"73146";"7223"
"9115";"Município (1991)";"210610";"Loreto";"2285";"1991";"8004";"1991";"69.330.803";"9465";"1642"
"9115";"Município (1991)";"352730";"Louveira";"2286";"1991";"8004";"1991";"900.444.290";"16259";"3274"
"9115";"Município (1991)";"510525";"Lucas do Rio Verde";"2287";"1991";"8004";"1991";"429.445.955";"6693";"1354"
"9115";"Município (1991)";"352740";"Lucélia";"2288";"1991";"8004";"1991";"706.287.353";"19286";"2013"
"9115";"Município (1991)";"250860";"Lucena";"2289";"1991";"8004";"1991";"81.155.632";"7699";"1514"
"9115";"Município (1991)";"352750";"Lucianópolis";"2290";"1991";"8004";"1991";"52.402.119";"2354";"545"
