"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Total de rendimentos brutos (operação: Soma)";"Freqüência";"Observações"
"9035";"Município";"4210803";"Meleiro";"3004";"2000";"8005";"2000";"2.858.869";"7080";"1319"
"9035";"Município";"1504505";"Melgaço";"3005";"2000";"8005";"2000";"1.081.371";"21064";"2077"
"9035";"Município";"3302809";"Mendes";"3006";"2000";"8005";"2000";"5.316.007";"17289";"1850"
"9035";"Município";"3141504";"Mendes Pimentel";"3007";"2000";"8005";"2000";"769.538";"6286";"1404"
"9035";"Município";"3529500";"Mendonça";"3008";"2000";"8005";"2000";"1.102.418";"3759";"804"
"9035";"Município";"4115853";"Mercedes";"3009";"2000";"8005";"2000";"1.350.575";"4608";"947"
"9035";"Município";"3141603";"Mercês";"3010";"2000";"8005";"2000";"1.571.710";"10061";"2060"
"9035";"Município";"3529609";"Meridiano";"3011";"2000";"8005";"2000";"750.312";"4025";"899"
"9035";"Município";"2308203";"Meruoca";"3012";"2000";"8005";"2000";"910.258";"11339";"2530"
"9035";"Município";"3529658";"Mesópolis";"3013";"2000";"8005";"2000";"316.415";"1930";"441"
"9035";"Município";"3141702";"Mesquita";"3014";"2000";"8005";"2000";"1.023.381";"6771";"1620"
"9035";"Município";"2705200";"Messias";"3015";"2000";"8005";"2000";"859.605";"11990";"2476"
"9035";"Município";"2407609";"Messias Targino";"3016";"2000";"8005";"2000";"321.478";"3718";"732"
"9035";"Município";"2206209";"Miguel Alves";"3017";"2000";"8005";"2000";"1.737.757";"29849";"2959"
"9035";"Município";"2921203";"Miguel Calmon";"3018";"2000";"8005";"2000";"2.500.279";"28267";"3343"
"9035";"Município";"2206308";"Miguel Leão";"3019";"2000";"8005";"2000";"109.517";"1370";"292"
"9035";"Município";"3302908";"Miguel Pereira";"3020";"2000";"8005";"2000";"9.112.329";"23902";"2675"
"9035";"Município";"3529708";"Miguelópolis";"3021";"2000";"8005";"2000";"5.229.303";"19019";"1931"
"9035";"Município";"2308302";"Milagres";"3022";"2000";"8005";"2000";"2.124.865";"26959";"2839"
"9035";"Município";"2921302";"Milagres";"3023";"2000";"8005";"2000";"1.229.810";"12067";"2290"
"9035";"Município";"2106672";"Milagres do Maranhão";"3024";"2000";"8005";"2000";"295.623";"5149";"1257"
